,index,Facility ID,Facility Name,Address,City,State,ZIP Code,County Name,Phone Number,HCAHPS Measure ID,HCAHPS Question,HCAHPS Answer Description,Patient Survey Star Rating,Patient Survey Star Rating Footnote,HCAHPS Answer Percent,HCAHPS Answer Percent Footnote,HCAHPS Linear Mean Value,Number of Completed Surveys,Number of Completed Surveys Footnote,Survey Response Rate Percent,Survey Response Rate Percent Footnote,Start Date,End Date,Year,Hospital Type,Hospital Ownership,Emergency Services,Meets criteria for promoting interoperability of EHRs,Hospital overall rating,Hospital overall rating footnote,Mortality national comparison,Mortality national comparison footnote,Safety of care national comparison,Safety of care national comparison footnote,Readmission national comparison,Readmission national comparison footnote,Patient experience national comparison,Patient experience national comparison footnote,Effectiveness of care national comparison,Effectiveness of care national comparison footnote,Timeliness of care national comparison,Timeliness of care national comparison footnote,Efficient use of medical imaging national comparison,Efficient use of medical imaging national comparison footnote,lat,lon
0,0,010001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,(334) 793-8701,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,77,,Not Applicable,535,,22,,07/01/2018,06/30/2019,2020,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,2,,Below the national average,,Same as the national average,,Below the national average,,Below the national average,,Same as the national average,,Same as the national average,,Same as the national average,,31.216322,-85.363335
93,93,010005,MARSHALL MEDICAL CENTERS,2505 U S HIGHWAY 431 NORTH,BOAZ,AL,35957,MARSHALL,(256) 593-8310,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,80,,Not Applicable,1053,,34,,07/01/2018,06/30/2019,2020,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,2,,Below the national average,,Same as the national average,,Above the national average,,Same as the national average,,Same as the national average,,Above the national average,,Below the national average,,34.221561,-86.160675
186,186,010006,NORTH ALABAMA MEDICAL CENTER,1701 VETERANS DRIVE,FLORENCE,AL,35630,LAUDERDALE,(256) 768-8400,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,76,,Not Applicable,664,,24,,07/01/2018,06/30/2019,2020,Acute Care Hospitals,Proprietary,Yes,Y,2,,Below the national average,,Same as the national average,,Above the national average,,Below the national average,,Same as the national average,,Above the national average,,Below the national average,,34.805164,-87.650658
279,279,010007,MIZELL MEMORIAL HOSPITAL,702 N MAIN ST,OPP,AL,36467,COVINGTON,(334) 493-3541,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,80,,Not Applicable,163,,26,,07/01/2018,06/30/2019,2020,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,2,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,Below the national average,,Above the national average,,Same as the national average,,31.29199,-86.254219
372,372,010008,CRENSHAW COMMUNITY HOSPITAL,101 HOSPITAL CIRCLE,LUVERNE,AL,36049,CRENSHAW,(334) 335-3374,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,86,10,Not Applicable,46,10,26,10,07/01/2018,06/30/2019,2020,Acute Care Hospitals,Proprietary,Yes,,4,,Same as the national average,,Not Available,5.0,Above the national average,,Not Available,16.0,Same as the national average,,Above the national average,,Not Available,5.0,31.693623,-86.264885
465,465,010011,ST. VINCENT'S EAST,50 MEDICAL PARK EAST DRIVE,BIRMINGHAM,AL,35235,JEFFERSON,(205) 838-3122,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,79,,Not Applicable,2162,,32,,07/01/2018,06/30/2019,2020,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,2,,Same as the national average,,Below the national average,,Same as the national average,,Below the national average,,Below the national average,,Below the national average,,Same as the national average,,33.595978,-86.667
558,558,010012,DEKALB REGIONAL MEDICAL CENTER,200 MED CENTER DRIVE,FORT PAYNE,AL,35968,DE KALB,(256) 845-3150,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,73,,Not Applicable,389,,18,,07/01/2018,06/30/2019,2020,Acute Care Hospitals,Proprietary,Yes,Y,2,,Below the national average,,Above the national average,,Same as the national average,,Below the national average,,Same as the national average,,Above the national average,,Same as the national average,,34.441421993282,-85.756328965424
651,651,010016,SHELBY BAPTIST MEDICAL CENTER,1000 FIRST STREET NORTH,ALABASTER,AL,35007,SHELBY,(205) 620-8100,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,76,,Not Applicable,1060,,18,,07/01/2018,06/30/2019,2020,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,2,,Same as the national average,,Below the national average,,Below the national average,,Below the national average,,Same as the national average,,Same as the national average,,Below the national average,,33.252151,-86.813484
744,744,010018,CALLAHAN EYE HOSPITAL,"1720 UNIVERSITY BLVD, SUITE 500",BIRMINGHAM,AL,35233,JEFFERSON,(205) 325-8100,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,87,10,Not Applicable,34,10,31,10,07/01/2018,06/30/2019,2020,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Not Available,16.0,Not Available,16.0,Not Available,5.0,Not Available,16.0,Not Available,16.0,Not Available,5.0,Same as the national average,,Not Available,16.0,33.503803,-86.802757
837,837,010019,HELEN KELLER HOSPITAL,1300 SOUTH MONTGOMERY AVENUE,SHEFFIELD,AL,35660,COLBERT,(256) 386-4556,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,83,,Not Applicable,377,,20,,07/01/2018,06/30/2019,2020,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,4,,Same as the national average,,Above the national average,,Above the national average,,Same as the national average,,Same as the national average,,Above the national average,,Below the national average,,34.745953,-87.69976
